Position, True thickness, Amplitude thickness
nm, nm, nm
, , 5% Noise
 26.700000,  27.254902,  27.281460
 26.800000,  27.450980,  27.454588
 26.900000,  27.647059,  27.644791
 27.000000,  27.843137,  27.788173
 27.100000,  28.039216,  27.899731
 27.200000,  28.235294,  28.098413
 27.300000,  28.431373,  28.813216
 27.400000,  28.627451,  29.065202
 27.500000,  28.823529,  29.113473
 27.600000,  29.019608,  29.023833
 27.700000,  29.215686,  29.014916
 27.800000,  29.411765,  29.064838
 27.900000,  29.607843,  30.332661
 28.000000,  29.803922,  30.612073
 28.100000,  30.000000,  30.613472
 28.200000,  30.196078,  30.492287
 28.300000,  30.392157,  30.355876
 28.400000,  30.588235,  30.340709
 28.500000,  30.784314,  30.410771
 28.600000,  30.980392,  30.572014
 28.700000,  31.176471,  30.665455
 28.800000,  31.372549,  30.742903
 28.900000,  31.568627,  30.809060
 29.000000,  31.764706,  31.390752
 29.100000,  31.960784,  31.860926
 29.200000,  32.156863,  32.110651
 29.300000,  32.352941,  32.407488
 29.400000,  32.549020,  32.677182
 29.500000,  32.745098,  32.832272
 29.600000,  32.941176,  32.890560
 29.700000,  33.137255,  32.907091
 29.800000,  33.333333,  32.959143
 29.900000,  33.529412,  33.245421
 30.000000,  33.725490,  33.775019
 30.100000,  33.921569,  33.954072
 30.200000,  34.117647,  34.126006
 30.300000,  34.313725,  34.334968
 30.400000,  34.509804,  34.637279
 30.500000,  34.705882,  34.983272
 30.600000,  34.901961,  35.134516
 30.700000,  35.098039,  35.272491
 30.800000,  35.294118,  35.383995
 30.900000,  35.490196,  35.499225
 31.000000,  35.686275,  35.617090
 31.100000,  35.882353,  35.721953
 31.200000,  36.078431,  35.849215
 31.300000,  36.274510,  36.080490
 31.400000,  36.470588,  36.552637
 31.500000,  36.666667,  37.145547
 31.600000,  36.862745,  37.500125
 31.700000,  37.058824,  37.599555
 31.800000,  37.254902,  37.672761
 31.900000,  37.450980,  37.795612
 32.000000,  37.647059,  38.312058
 32.100000,  37.843137,  38.702790
 32.200000,  38.039216,  38.752589
 32.300000,  38.235294,  38.766765
 32.400000,  38.431373,  38.766553
 32.500000,  38.627451,  38.774226
 32.600000,  38.823529,  38.868652
 32.700000,  39.019608,  39.503564
 32.800000,  39.215686,  39.705811
 32.900000,  39.411765,  39.741515
 33.000000,  39.607843,  39.758896
 33.100000,  39.803922,  39.772685
 33.200000,  40.000000,  39.788386
 33.300000,  40.196078,  39.844879
 33.400000,  40.392157,  40.039376
 33.500000,  40.588235,  40.461308
 33.600000,  40.784314,  40.483930
 33.700000,  40.980392,  39.948550
 33.800000,  41.176471,  39.706011
 33.900000,  41.372549,  40.476796
 34.000000,  41.568627,  41.598813
 34.100000,  41.764706,  41.648720
 34.200000,  41.960784,  41.642589
 34.300000,  42.156863,  41.539422
 34.400000,  42.352939,  41.177994
 34.500000,  42.549010,  41.187143
 34.600000,  42.745077,  41.207641
 34.700000,  42.941135,  42.213988
 34.800000,  43.137180,  42.592664
 34.900000,  43.333209,  42.654509
 35.000000,  43.529214,  42.679828
 35.100000,  43.725185,  42.703064
 35.200000,  43.921109,  43.180167
 35.300000,  44.116969,  44.281915
 35.400000,  44.312742,  44.640191
 35.500000,  44.508398,  45.115792
 35.600000,  44.703899,  45.311909
 35.700000,  44.899196,  45.777130
 35.800000,  45.094226,  46.401437
 35.900000,  45.288913,  46.555702
 36.000000,  45.483161,  46.111112
 36.100000,  45.676853,  45.037689
 36.200000,  45.869850,  44.241564
 36.300000,  46.061984,  44.405758
 36.400000,  46.253059,  45.409176
 36.500000,  46.442848,  46.499545
 36.600000,  46.631088,  46.880083
 36.700000,  46.817485,  47.001064
 36.800000,  47.001706,  47.025732
 36.900000,  47.183388,  47.050542
 37.000000,  47.362134,  47.107977
 37.100000,  47.537519,  47.313502
 37.200000,  47.709097,  47.457884
 37.300000,  47.876402,  47.547525
 37.400000,  48.038963,  47.644163
 37.500000,  48.196307,  47.835725
 37.600000,  48.347970,  48.400252
 37.700000,  48.493510,  49.297287
 37.800000,  48.632516,  49.676181
 37.900000,  48.764618,  49.183609
 38.000000,  48.889499,  48.477600
 38.100000,  49.006901,  48.274543
 38.200000,  49.116635,  48.248279
 38.300000,  49.218586,  48.440955
 38.400000,  49.312714,  49.406266
 38.500000,  49.399058,  49.507225
 38.600000,  49.477734,  49.527986
 38.700000,  49.548931,  49.526008
 38.800000,  49.612908,  49.527566
 38.900000,  49.669980,  49.547171
 39.000000,  49.720519,  49.613582
 39.100000,  49.764934,  49.970530
 39.200000,  49.803669,  50.288622
 39.300000,  49.837187,  50.312724
 39.400000,  49.865959,  50.287588
 39.500000,  49.890460,  50.233658
 39.600000,  49.911153,  50.159031
 39.700000,  49.928486,  50.111076
 39.800000,  49.942883,  50.092988
